player_1,player_2,Winner,Location,Tournament,Date,Series,Court,Best of,Surface,Round,elo_player_1,elo_player_2,surface_elo_player_1,surface_elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
Ymer M.,Kwon S.W.,player_1,Adelaide,Adelaide International 1,2022-01-05,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,1.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Kokkinakis T.,Tiafoe F.,player_1,Adelaide,Adelaide International 1,2022-01-05,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,1.0,,1.0,0.0,1.0,0.0,1500.0,1516.0,1500.0,1516.0
Van De Zandschulp B.,Mcdonald M.,player_1,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,2.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Opelka R.,Cressy M.,player_2,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1516.0,1500.0,1516.0,,1.0,0.0,1.0,0.0,1.0,1516.0,1500.0,1516.0,1500.0
Griekspoor T.,Popyrin A.,player_1,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,2.0,1.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Munar J.,Laaksonen H.,player_1,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,1.0,,1.0,0.0,1.0,0.0,1500.0,1516.0,1500.0,1516.0
Berankis R.,Nadal R.,player_2,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,1.0,,0.5,1.0,0.5,1.0,1500.0,1516.0,1500.0,1516.0
Molcan A.,Goffin D.,player_1,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,1.0,,1.0,0.0,1.0,0.0,1500.0,1516.0,1500.0,1516.0
Ruusuvuori E.,Thompson J.,player_1,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,1.0,1.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Bagnis F.,Dimitrov G.,player_2,Melbourne,Melbourne Summer Set,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,2.0,,0.5,1.0,0.5,1.0,1500.0,1516.0,1500.0,1516.0
Mager G.,Gerasimov E.,player_2,Adelaide,Adelaide International 1,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,2.0,2.0,0.5,1.0,0.5,1.0,1508.0,1508.0,1508.0,1508.0
Khachanov K.,Johnson S.,player_1,Adelaide,Adelaide International 1,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1516.0,1500.0,1516.0,,3.0,1.0,0.5,1.0,0.5,1516.0,1500.0,1516.0,1500.0
Monfils G.,Cerundolo J.M.,player_1,Adelaide,Adelaide International 1,2022-01-06,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1516.0,1500.0,1516.0,,2.0,1.0,0.5,1.0,0.5,1516.0,1500.0,1516.0,1500.0
