elo_player_1,elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
1516.0,1516.0,1.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
1516.0,1516.0,2.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
1516.0,1516.0,2.0,1.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
1516.0,1516.0,1.0,1.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
1516.0,1516.0,2.0,2.0,0.5,1.0,0.5,1.0,1508.0,1508.0,1508.0,1508.0
1516.0,1516.0,2.0,2.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
1532.0,1516.736306793522,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.9121022645074,1524.0,1510.9121022645074,1524.0
1531.263693206478,1531.263693206478,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.421231068826,1510.421231068826,1510.421231068826,1510.421231068826
1532.0,1531.263693206478,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1515.7545644021593,1510.6666666666667,1515.7545644021593,1510.6666666666667
1516.736306793522,1532.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1524.0,1510.9121022645074,1524.0,1510.9121022645074
1516.736306793522,1516.0,2.0,4.0,1.0,0.5,1.0,0.5,1516.0,1508.368153396761,1516.0,1508.368153396761
1532.0,1531.263693206478,2.0,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1515.7545644021593,1510.6666666666667,1515.7545644021593,1510.6666666666667
1532.0,1516.736306793522,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1510.9121022645074,1524.0,1510.9121022645074,1524.0
1533.4387739660467,1547.2976013366472,1.0,1.0,1.0,0.75,1.0,0.75,1531.7658671122156,1516.3596934915115,1531.7658671122156,1516.3596934915115
1533.4387739660467,1547.263693206478,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1531.7545644021593,1516.1756167931312,1531.7545644021593,1516.1756167931312
1547.9660918698307,1516.736306793522,1.0,2.0,0.75,1.0,0.75,1.0,1516.0,1531.9830459349157,1516.0,1531.9830459349157
1532.7023986633528,1533.4387739660467,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1521.812924655349,1526.900799554451,1521.812924655349,1526.900799554451
